Package ID: 1000 Address sender: 4-603817 Status: 3: Van 2026, status=COLLECTION
Package ID: 1000 Address sender: 1-313814 Status: 54: Branch 2, status=BRANCH_STORAGE
Package ID: 1002 Address sender: 1-313814 Status: 57: Branch 2, status=BRANCH_STORAGE
Package ID: 1003 Address sender: 1-313814 Status: 60: Branch 2, status=BRANCH_STORAGE
Package ID: 1005 Address sender: 1-313814 Status: 63: Branch 2, status=BRANCH_STORAGE
Package ID: 1006 Address sender: 1-313814 Status: 66: NonStandardTruck 2005, status=DISTRIBUTION
Package ID: 1006 Address sender: 1-313814 Status: 76: Customer, status=DELIVERED
Package ID: 1009 Address sender: 2-883880 Status: 76: NonStandardTruck 2005, status=COLLECTION
Package ID: 1009 Address sender: 2-883880 Status: 85: NonStandardTruck 2005, status=DISTRIBUTION
Package ID: 1009 Address sender: 2-883880 Status: 95: Customer, status=DELIVERED
Package ID: 1004 Address sender: 2-883880 Status: 110: Van 2006, status=DISTRIBUTION
Package ID: 1004 Address sender: 2-883880 Status: 110: Van 2016, status=DISTRIBUTION
Package ID: 1004 Address sender: 2-883880 Status: 140: Customer, status=DELIVERED
Package ID: 1004 Address sender: 2-883880 Status: 140: Customer, status=DELIVERED
Package ID: 1000 Address sender: 3-1038537 Status: 3: Van 2021, status=COLLECTION
Package ID: 1001 Address sender: 3-1038537 Status: 5: NonStandardTruck 2005, status=COLLECTION
Package ID: 1003 Address sender: 3-1038537 Status: 7: Van 2022, status=COLLECTION
Package ID: 1004 Address sender: 3-1038537 Status: 9: Van 2023, status=COLLECTION
Package ID: 1005 Address sender: 2-176455 Status: 9: Van 2016, status=COLLECTION
